Designator,Mid X,Mid Y,Rotation,Layer
,104.37405,-77.262,270.0,top
100NF_CONDENSATEUR_CERAMIQUE_1206_1,129.5,-93.5,270.0,bottom
100NF_CONDENSATEUR_CERAMIQUE_1206_2,129.5,-77.0,0.0,bottom
10K_RESITANCE_0603_2,130.0,-74.0,0.0,bottom
20K_RESISTANCE,123.5875,-95.0,180.0,bottom
BORNIER_A_VIS_GROS,121.125,-98.991299,0.0,top
BORNIER_BLEU,112.0,-63.5,0.0,top
CONDENSATEUR_CHIMIQUE,106.5,-76.5625,90.0,top
MICROCONTRÔLEUR,129.405,-85.587,270.0,top
PONT_REDRESSEUR,124.4901,-64.75,180.0,top
QUARTZ,106.0,-89.5,270.0,top
RESISTANCE_12K_0603,131.0,-74.9125,270.0,top
RESISTANCE_1K_0603_1,114.0,-70.5,180.0,top
RESISTANCE_1K_0603_2,127.5,-88.0,270.0,bottom
TP5088N,119.31,-80.5,270.0,top
TRANSISTOR_NPN,128.055001,-70.524999,270.0,top
Z5.1V,111.5,-78.0,270.0,top
